Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.04386     5.88004   51.279787 -125.551245   -0.578    0.131  1
RGI60-02.01301     5.85505   50.394539 -123.355354   -0.744    0.138  1
RGI60-02.01675     5.84250   50.634462 -116.566079   -0.569    0.155  1
RGI60-02.06479     5.83369   51.918004 -126.201924   -0.033    0.117  1
RGI60-02.01252     5.83262   50.490110 -124.087365   -0.528    0.140  1
RGI60-02.07031     5.82846   52.262685 -117.818190   -0.454    0.142  1
RGI60-02.01151     5.80565   50.434299 -123.833588   -0.391    0.128  1
RGI60-02.08212     5.79295   52.811332 -119.852073   -0.362    0.139  1
RGI60-02.06433     5.79283   52.068338 -126.926856   -0.867    0.165  1
RGI60-02.05134     5.79060   51.303665 -125.930911   -0.446    0.132  1
RGI60-02.05351     5.78901   51.707740 -126.398597   -1.087    0.164  1
RGI60-02.11460     5.78134   55.966443 -127.205955   -0.553    0.148  1
RGI60-02.00291     5.77645   49.841042 -122.964742   -1.038    0.162  1
RGI60-02.04672     5.75023   51.518353 -125.779074   -0.729    0.147  1
RGI60-02.02251     5.73700   50.855383 -125.146848   -0.282    0.122  1
RGI60-02.04418     5.73672   51.066899 -125.193016   -0.774    0.155  1
